날짜,미세먼지(PM-10),소음(db),습도(%),온도(℃),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-10-10 05,30.86,51.42,73.29,14.2,21.11,좋음,보통
2018-10-10 06,32.0,51.83,69.78,13.66,19.04,보통,보통
2018-10-10 07,33.92,52.39,68.33,13.23,20.75,보통,보통
2018-10-10 08,29.57,52.66,63.46,13.02,17.85,좋음,보통
2018-10-10 09,25.32,52.59,54.26,13.35,16.86,좋음,보통
2018-10-10 10,34.12,52.69,47.87,13.93,22.83,보통,보통
2018-10-10 11,33.12,52.54,43.34,14.26,22.46,보통,보통
2018-10-10 12,29.7,52.54,40.91,14.54,21.64,좋음,보통
2018-10-10 13,31.57,52.59,40.49,14.5,20.73,보통,보통
2018-10-10 14,31.98,52.6,38.12,14.87,19.53,보통,보통
2018-10-10 15,32.45,52.87,36.22,15.07,12.86,보통,좋음
2018-10-10 16,34.73,52.84,36.79,14.76,12.57,보통,좋음
2018-10-10 17,35.3,52.65,36.8,14.33,14.55,보통,좋음
2018-10-10 18,34.57,52.39,37.97,13.46,13.66,보통,좋음
2018-10-10 19,32.52,52.61,39.33,12.78,14.25,보통,좋음
2018-10-10 20,28.55,52.58,38.24,12.36,13.06,좋음,좋음
2018-10-10 21,26.81,52.59,38.1,11.76,12.2,좋음,좋음
2018-10-10 22,27.41,52.8,40.86,11.2,13.15,좋음,좋음
2018-10-10 23,32.11,52.43,46.73,10.37,14.53,보통,좋음
2018-10-11 00,28.89,52.16,53.68,9.54,11.57,좋음,좋음
2018-10-11 01,25.23,51.94,60.38,8.7,13.71,좋음,좋음
2018-10-11 02,28.48,51.74,64.0,8.18,15.2,좋음,좋음
2018-10-11 03,30.21,51.65,66.95,7.71,15.7,좋음,좋음
2018-10-11 04,30.09,51.69,68.59,7.49,18.37,좋음,보통
2018-10-11 05,30.09,52.12,70.75,7.09,22.64,좋음,보통
2018-10-11 06,31.77,52.7,69.73,7.01,21.79,보통,보통
2018-10-11 07,34.5,52.84,61.43,8.01,20.34,보통,보통
2018-10-11 08,30.44,52.93,47.06,9.81,19.56,좋음,보통
2018-10-11 09,29.22,52.85,39.19,11.5,17.51,좋음,보통
2018-10-11 10,42.11,53.0,33.03,12.91,23.64,보통,보통
2018-10-11 11,44.88,52.93,31.34,13.75,27.3,보통,보통
2018-10-11 12,38.41,52.82,28.63,14.39,21.3,보통,보통
2018-10-11 13,49.09,52.8,28.24,14.54,16.94,보통,보통
2018-10-11 14,56.99,52.88,28.86,14.68,19.78,보통,보통
2018-10-11 15,61.26,52.9,31.04,14.54,18.55,보통,보통
2018-10-11 16,59.65,52.97,30.35,14.65,18.11,보통,보통
2018-10-11 17,62.04,53.04,31.05,14.06,20.56,보통,보통
2018-10-11 18,59.62,52.77,34.13,13.22,22.55,보통,보통
2018-10-11 19,34.48,52.77,37.47,12.53,13.43,보통,좋음
2018-10-11 20,32.8,52.73,40.95,11.84,12.81,보통,좋음
2018-10-11 21,29.91,52.7,43.38,11.2,13.44,좋음,좋음
2018-10-11 22,29.31,52.71,46.14,10.73,13.11,좋음,좋음
2018-10-11 23,29.1,52.39,49.9,10.1,13.79,좋음,좋음
2018-10-12 00,28.82,52.14,55.54,9.29,13.79,좋음,좋음
2018-10-12 01,25.03,51.81,60.1,8.52,11.44,좋음,좋음
2018-10-12 02,22.92,51.61,64.58,7.83,10.99,좋음,좋음
2018-10-12 03,30.32,51.55,67.21,7.38,12.58,좋음,좋음
2018-10-12 04,30.03,51.67,69.98,6.88,14.05,좋음,좋음
2018-10-12 05,32.82,52.09,71.38,6.52,17.33,보통,보통
2018-10-12 06,35.54,52.51,72.43,6.26,19.44,보통,보통
2018-10-12 07,36.86,52.93,70.2,6.71,22.09,보통,보통
2018-10-12 08,39.68,53.0,61.45,8.74,22.69,보통,보통
2018-10-12 09,39.93,52.84,49.02,11.43,19.49,보통,보통
2018-10-12 10,62.44,52.74,40.24,13.62,30.18,보통,보통
2018-10-12 11,77.09,52.61,35.91,15.02,37.88,보통,나쁨
2018-10-12 12,78.55,52.68,33.37,16.09,38.75,보통,나쁨
2018-10-12 13,75.9,52.65,31.57,16.91,39.27,보통,나쁨
2018-10-12 14,81.33,52.72,30.94,17.42,40.99,나쁨,나쁨
2018-10-12 15,85.31,53.02,30.58,17.56,44.12,나쁨,나쁨
2018-10-12 16,93.65,53.1,30.95,17.34,48.39,나쁨,나쁨
2018-10-12 17,65.29,52.86,35.64,16.3,33.81,보통,보통
2018-10-12 18,39.97,52.94,43.87,14.72,23.37,보통,보통
2018-10-12 19,40.68,53.01,51.21,13.5,21.47,보통,보통
2018-10-12 20,42.51,52.85,56.55,12.53,23.3,보통,보통
2018-10-12 21,41.21,52.71,60.0,11.67,25.2,보통,보통
2018-10-12 22,39.63,52.78,62.76,10.94,22.98,보통,보통
2018-10-12 23,39.27,52.51,66.15,10.26,22.39,보통,보통
2018-10-13 00,35.0,52.26,68.83,9.72,21.99,보통,보통
2018-10-13 01,39.91,52.03,71.34,9.13,28.44,보통,보통
2018-10-13 02,41.23,51.85,73.58,8.59,28.34,보통,보통
2018-10-13 03,43.85,51.81,74.86,8.16,30.86,보통,보통
2018-10-13 04,44.1,51.7,75.72,7.87,32.38,보통,보통
2018-10-13 05,47.23,51.95,76.96,7.56,31.84,보통,보통
2018-10-13 06,48.37,52.48,77.5,7.34,31.65,보통,보통
2018-10-13 07,49.95,52.54,75.29,7.76,33.89,보통,보통
2018-10-13 08,51.34,52.61,67.78,9.64,33.55,보통,보통
2018-10-13 09,51.3,52.65,56.94,12.38,32.06,보통,보통
2018-10-13 10,50.81,52.48,46.35,15.2,30.92,보통,보통
2018-10-13 11,48.38,52.33,35.47,17.17,28.94,보통,보통
2018-10-13 12,42.92,52.24,28.86,18.35,24.93,보통,보통
2018-10-13 13,43.13,52.3,26.26,19.08,26.61,보통,보통
2018-10-13 14,44.41,52.36,25.43,19.44,29.07,보통,보통
2018-10-13 15,47.14,52.39,25.59,19.44,30.05,보통,보통
2018-10-13 16,50.92,52.41,27.78,19.05,32.19,보통,보통
2018-10-13 17,52.97,52.53,34.68,17.7,34.19,보통,보통
2018-10-13 18,51.36,52.69,44.84,15.68,33.62,보통,보통
2018-10-13 19,56.1,52.69,50.02,14.33,34.36,보통,보통
2018-10-13 20,56.59,52.62,53.65,13.36,34.3,보통,보통
2018-10-13 21,59.39,52.61,57.66,12.43,39.9,보통,나쁨
2018-10-13 22,61.39,52.45,60.88,11.74,46.15,보통,나쁨
2018-10-13 23,60.17,52.25,64.32,11.02,45.62,보통,나쁨
2018-10-14 00,60.14,52.0,67.04,10.39,44.77,보통,나쁨
2018-10-14 01,59.34,51.8,69.0,9.81,42.39,보통,나쁨
2018-10-14 02,60.21,51.77,72.26,9.29,42.31,보통,나쁨
2018-10-14 03,59.95,51.52,74.06,8.84,44.11,보통,나쁨
2018-10-14 04,59.01,51.57,75.76,8.46,44.48,보통,나쁨
2018-10-14 05,59.91,51.74,76.91,8.03,41.75,보통,나쁨
2018-10-14 06,64.3,52.0,77.61,7.78,45.92,보통,나쁨
2018-10-14 07,67.05,52.13,75.48,8.26,50.03,보통,나쁨
2018-10-14 08,78.56,52.19,68.3,10.01,60.4,보통,나쁨
2018-10-14 09,80.22,52.29,58.03,12.66,60.07,보통,나쁨
2018-10-14 10,86.28,52.12,46.75,15.77,66.88,나쁨,나쁨
2018-10-14 11,83.47,51.99,35.49,18.12,62.65,나쁨,나쁨
2018-10-14 12,67.08,52.04,32.61,19.13,46.59,보통,나쁨
2018-10-14 13,49.56,52.11,32.11,19.74,33.09,보통,보통
2018-10-14 14,47.3,52.14,31.73,19.9,30.06,보통,보통
2018-10-14 15,45.18,52.12,30.93,19.9,28.52,보통,보통
2018-10-14 16,40.85,52.19,32.88,19.17,22.81,보통,보통
2018-10-14 17,40.45,52.4,38.47,18.0,20.67,보통,보통
2018-10-14 18,42.21,52.37,48.89,16.69,20.58,보통,보통
2018-10-14 19,42.39,52.28,54.33,16.26,19.61,보통,보통
2018-10-14 20,42.6,52.25,54.9,15.83,22.0,보통,보통
2018-10-14 21,38.86,52.16,58.69,15.34,20.62,보통,보통
2018-10-14 22,36.71,51.97,63.44,14.75,20.79,보통,보통
2018-10-14 23,38.86,51.58,67.82,13.75,25.4,보통,보통
2018-10-15 00,40.26,51.44,71.65,12.85,24.11,보통,보통
2018-10-15 01,37.22,51.27,75.07,12.16,24.38,보통,보통
2018-10-15 02,38.2,51.1,77.21,11.69,24.3,보통,보통
2018-10-15 03,37.69,50.98,77.95,11.54,24.88,보통,보통
2018-10-15 04,39.0,51.19,77.58,11.61,24.04,보통,보통
2018-10-15 05,41.76,51.65,77.49,11.69,25.91,보통,보통
2018-10-15 06,41.99,52.11,78.52,11.55,30.81,보통,보통
2018-10-15 07,44.98,52.49,77.43,11.89,32.56,보통,보통
2018-10-15 08,48.23,52.64,73.49,12.9,32.64,보통,보통
2018-10-15 09,51.56,52.78,67.03,14.56,34.33,보통,보통
2018-10-15 10,54.49,52.71,60.19,16.64,36.53,보통,나쁨
2018-10-15 11,70.33,52.31,56.4,18.75,44.29,보통,나쁨
2018-10-15 12,95.33,52.28,51.54,20.3,57.45,나쁨,나쁨
2018-10-15 13,117.82,52.36,44.49,21.09,70.42,나쁨,나쁨
2018-10-15 14,134.52,52.4,38.7,21.5,80.8,나쁨,매우 나쁨
2018-10-15 15,128.13,52.47,39.76,21.32,73.85,나쁨,나쁨
2018-10-15 16,127.14,52.56,41.67,20.81,69.18,나쁨,나쁨
2018-10-15 17,122.95,52.46,46.08,19.69,71.41,나쁨,나쁨
2018-10-15 18,102.92,52.29,56.22,18.31,60.32,나쁨,나쁨
2018-10-15 19,104.66,52.26,64.89,17.4,61.71,나쁨,나쁨
2018-10-15 20,146.33,52.22,66.92,17.07,88.88,나쁨,매우 나쁨
2018-10-15 21,130.94,52.12,64.33,16.42,78.94,나쁨,매우 나쁨
2018-10-15 22,119.44,52.0,66.03,15.32,71.76,나쁨,나쁨
2018-10-15 23,104.67,51.77,70.39,14.14,64.43,나쁨,나쁨
2018-10-16 00,86.11,51.54,69.83,13.36,53.61,나쁨,나쁨
2018-10-16 01,88.57,51.35,68.42,12.87,55.81,나쁨,나쁨
2018-10-16 02,73.62,51.18,67.64,12.42,45.29,보통,나쁨
2018-10-16 03,64.73,51.13,68.12,11.94,41.06,보통,나쁨
2018-10-16 04,68.53,51.3,70.44,11.43,44.26,보통,나쁨
2018-10-16 05,81.84,51.57,71.21,11.08,54.3,나쁨,나쁨
2018-10-16 06,83.34,52.05,70.88,11.15,53.79,나쁨,나쁨
2018-10-16 07,106.55,52.54,70.76,11.27,69.88,나쁨,나쁨
2018-10-16 08,142.06,52.72,66.61,12.25,95.99,나쁨,매우 나쁨
2018-10-16 09,154.06,52.59,58.6,14.08,106.9,매우나쁨,매우 나쁨
2018-10-16 10,149.83,52.49,48.19,16.52,101.47,나쁨,매우 나쁨
2018-10-16 11,126.0,52.2,39.23,18.55,79.56,나쁨,매우 나쁨
2018-10-16 12,83.53,52.1,27.29,20.32,46.5,나쁨,나쁨
2018-10-16 13,51.58,52.1,26.21,21.03,26.88,보통,보통
2018-10-16 14,48.85,52.24,27.21,21.02,23.76,보통,보통
2018-10-16 15,54.74,52.31,29.4,20.43,25.15,보통,보통
2018-10-16 16,66.62,52.66,29.96,19.71,30.51,보통,보통
2018-10-16 17,79.73,52.41,34.21,18.56,36.18,보통,나쁨
2018-10-16 18,83.05,52.39,43.0,17.14,36.1,나쁨,나쁨
2018-10-16 19,87.33,52.46,50.23,16.14,37.48,나쁨,나쁨
2018-10-16 20,82.45,52.33,55.63,15.34,35.17,나쁨,보통
2018-10-16 21,61.12,52.24,60.2,14.44,26.51,보통,보통
2018-10-16 22,58.7,52.15,63.05,13.68,29.07,보통,보통
2018-10-16 23,55.92,51.8,66.21,12.92,28.61,보통,보통
2018-10-17 00,56.35,51.67,69.17,12.18,28.27,보통,보통
2018-10-17 01,53.45,51.46,70.67,11.58,29.25,보통,보통
2018-10-17 02,53.26,51.21,72.98,11.03,29.9,보통,보통
2018-10-17 03,55.02,51.1,74.05,10.57,33.06,보통,보통
2018-10-17 04,57.46,51.24,75.11,10.16,34.22,보통,보통
2018-10-17 05,58.99,51.68,75.66,9.83,33.48,보통,보통
2018-10-17 06,59.61,52.13,76.39,9.59,32.97,보통,보통
2018-10-17 07,61.01,52.58,75.09,9.82,33.21,보통,보통
2018-10-17 08,62.36,52.77,68.9,11.43,38.91,보통,나쁨
2018-10-17 09,65.4,52.69,62.59,13.78,42.82,보통,나쁨
2018-10-17 10,79.68,52.42,55.18,15.89,48.28,보통,나쁨
2018-10-17 11,81.34,52.19,39.99,17.63,47.21,나쁨,나쁨
2018-10-17 12,73.88,52.24,21.85,18.72,39.92,보통,나쁨
2018-10-17 13,54.02,52.28,20.34,18.98,25.16,보통,보통
2018-10-17 14,40.33,52.31,20.61,19.06,16.54,보통,보통
2018-10-17 15,35.59,52.43,20.53,18.71,15.71,보통,좋음
2018-10-17 16,31.03,52.6,18.94,18.06,13.86,보통,좋음
2018-10-17 17,27.83,52.47,26.24,16.78,11.09,좋음,좋음
2018-10-17 18,29.36,52.46,33.56,15.26,15.74,좋음,좋음
2018-10-17 19,30.83,52.5,40.88,13.91,16.41,좋음,보통
2018-10-17 20,32.93,52.45,44.77,12.72,12.22,보통,좋음
2018-10-17 21,32.52,52.39,49.04,11.84,12.32,보통,좋음
2018-10-17 22,35.03,52.37,54.6,11.24,15.01,보통,좋음
2018-10-17 23,37.36,52.13,60.26,10.76,16.33,보통,보통
2018-10-18 00,36.23,51.8,64.5,10.36,17.71,보통,보통
2018-10-18 01,34.45,51.51,68.79,9.91,19.4,보통,보통
2018-10-18 02,35.2,51.45,71.3,9.47,21.42,보통,보통
2018-10-18 03,34.39,51.59,73.32,9.18,22.91,보통,보통
2018-10-18 04,33.66,51.76,75.14,8.86,24.92,보통,보통
2018-10-18 05,32.47,52.02,76.27,8.73,23.51,보통,보통
2018-10-18 06,31.12,52.34,76.39,8.82,22.52,보통,보통
2018-10-18 07,32.21,52.6,73.72,9.48,21.7,보통,보통
2018-10-18 08,34.37,52.7,67.94,10.94,25.67,보통,보통
2018-10-18 09,33.65,52.92,61.49,12.76,21.6,보통,보통
2018-10-18 10,31.24,52.62,56.54,14.38,18.61,보통,보통
2018-10-18 11,23.13,52.55,48.28,16.39,14.34,좋음,좋음
2018-10-18 12,18.61,52.33,40.92,17.55,9.04,좋음,좋음
2018-10-18 13,13.91,52.31,39.01,17.98,7.01,좋음,좋음
2018-10-18 14,9.15,52.43,38.87,17.78,3.63,좋음,좋음
2018-10-18 15,10.83,52.53,38.82,17.96,3.79,좋음,좋음
2018-10-18 16,11.36,52.64,39.46,17.68,3.45,좋음,좋음
2018-10-18 17,13.2,52.69,40.78,16.96,2.92,좋음,좋음
2018-10-18 18,15.72,52.5,42.5,16.27,3.58,좋음,좋음
2018-10-18 19,17.43,52.45,47.4,15.28,4.51,좋음,좋음
2018-10-18 20,19.8,52.44,51.6,14.37,4.79,좋음,좋음
2018-10-18 21,23.96,52.36,56.46,13.5,5.42,좋음,좋음
2018-10-18 22,26.19,52.24,58.18,13.01,7.77,좋음,좋음
2018-10-18 23,27.31,51.97,59.26,12.48,11.01,좋음,좋음
2018-10-19 00,28.53,51.67,58.63,12.08,12.18,좋음,좋음
2018-10-19 01,28.94,51.43,59.17,11.57,16.72,좋음,보통
2018-10-19 02,28.43,51.27,61.03,11.0,17.18,좋음,보통
2018-10-19 03,28.58,51.25,64.75,10.29,15.56,좋음,좋음
2018-10-19 04,28.03,51.39,66.08,9.89,15.49,좋음,좋음
2018-10-19 05,28.24,51.85,67.16,9.58,16.31,좋음,보통
2018-10-19 06,27.43,52.31,68.11,9.25,17.19,좋음,보통
2018-10-19 07,30.41,52.64,68.3,9.36,18.13,좋음,보통
2018-10-19 08,30.44,52.72,61.09,11.16,16.85,좋음,보통
2018-10-19 09,29.88,52.58,51.42,13.84,16.89,좋음,보통
2018-10-19 10,27.22,52.48,42.0,15.97,13.32,좋음,좋음
2018-10-19 11,24.04,52.18,34.09,17.87,8.94,좋음,좋음
2018-10-19 12,22.14,52.23,27.31,19.07,7.3,좋음,좋음
2018-10-19 13,20.69,52.17,24.33,19.62,9.08,좋음,좋음
2018-10-19 14,24.72,51.94,24.88,19.93,10.88,좋음,좋음
2018-10-19 15,22.57,52.17,23.02,19.92,11.58,좋음,좋음
2018-10-19 16,24.32,52.22,23.87,19.65,12.11,좋음,좋음
2018-10-19 17,27.93,52.18,33.18,18.53,14.22,좋음,좋음
2018-10-19 18,30.73,52.13,40.16,16.94,15.08,좋음,좋음
2018-10-19 19,31.02,52.31,43.61,16.18,15.21,보통,좋음
2018-10-19 20,32.3,52.54,48.52,15.02,16.22,보통,보통
2018-10-19 21,34.17,52.42,54.14,13.75,16.31,보통,보통
2018-10-19 22,35.29,52.54,58.34,12.85,19.09,보통,보통
2018-10-19 23,35.18,52.35,62.11,12.01,20.61,보통,보통
2018-10-20 00,35.83,52.19,65.35,11.22,17.41,보통,보통
2018-10-20 01,33.7,51.91,68.26,10.54,18.16,보통,보통
2018-10-20 02,35.38,51.67,70.53,9.94,20.61,보통,보통
2018-10-20 03,44.31,51.66,72.75,9.4,27.34,보통,보통
2018-10-20 04,43.51,51.52,74.65,8.96,28.66,보통,보통
2018-10-20 05,43.66,51.84,75.4,8.6,25.57,보통,보통
2018-10-20 06,45.66,52.14,76.17,8.32,25.04,보통,보통
2018-10-20 07,49.23,52.37,74.58,8.55,27.37,보통,보통
2018-10-20 08,48.06,52.56,67.29,10.23,27.44,보통,보통
2018-10-20 09,48.99,52.62,56.31,12.95,30.34,보통,보통
2018-10-20 10,47.47,52.52,45.85,15.79,29.3,보통,보통
2018-10-20 11,51.5,52.54,38.34,17.85,31.82,보통,보통
2018-10-20 12,52.19,52.23,32.9,19.6,29.96,보통,보통
2018-10-20 13,56.25,52.28,27.81,20.64,26.93,보통,보통
2018-10-20 14,56.55,52.32,24.04,21.13,25.14,보통,보통
2018-10-20 15,45.97,52.21,21.85,20.91,19.54,보통,보통
2018-10-20 16,43.48,52.32,21.91,20.32,17.98,보통,보통
2018-10-20 17,41.01,52.52,26.3,18.5,20.12,보통,보통
2018-10-20 18,42.07,52.69,33.7,16.53,21.34,보통,보통
2018-10-20 19,46.51,52.6,40.66,14.92,22.34,보통,보통
2018-10-20 20,44.31,52.44,44.78,13.74,22.23,보통,보통
2018-10-20 21,42.79,52.47,47.95,12.93,23.26,보통,보통
2018-10-20 22,43.91,52.35,52.07,12.2,25.13,보통,보통
2018-10-20 23,41.18,52.1,55.4,11.61,24.99,보통,보통
2018-10-21 00,40.47,51.97,58.99,10.94,23.2,보통,보통
2018-10-21 01,38.15,51.68,62.48,10.3,22.64,보통,보통
2018-10-21 02,37.16,51.48,65.4,9.77,25.06,보통,보통
2018-10-21 03,36.58,51.43,68.18,9.23,26.47,보통,보통
2018-10-21 04,38.38,51.32,70.09,8.88,26.36,보통,보통
2018-10-21 05,39.48,51.63,72.61,8.35,25.19,보통,보통
2018-10-21 06,39.78,51.72,74.0,8.06,28.27,보통,보통
2018-10-21 07,40.95,51.97,72.71,8.3,29.36,보통,보통
2018-10-21 08,43.1,52.19,65.69,9.97,28.12,보통,보통
2018-10-21 09,45.63,52.16,54.51,12.87,30.51,보통,보통
2018-10-21 10,46.53,52.12,43.52,15.87,31.32,보통,보통
2018-10-21 11,45.6,51.97,34.16,18.08,30.68,보통,보통
2018-10-21 12,43.16,52.0,27.83,19.47,27.3,보통,보통
2018-10-21 13,45.06,52.1,26.67,20.36,25.2,보통,보통
2018-10-21 14,44.37,52.06,23.97,20.75,25.87,보통,보통
2018-10-21 15,43.41,52.03,22.75,20.74,26.09,보통,보통
2018-10-21 16,39.48,52.06,23.12,20.12,23.1,보통,보통
2018-10-21 17,37.55,52.15,25.7,18.28,20.96,보통,보통
2018-10-21 18,37.75,52.27,34.78,16.22,20.85,보통,보통
2018-10-21 19,37.97,52.36,42.14,14.72,20.81,보통,보통
2018-10-21 20,41.55,52.25,46.13,13.89,21.38,보통,보통
2018-10-21 21,38.77,52.16,50.16,12.97,23.08,보통,보통
2018-10-21 22,37.38,52.11,52.25,12.49,22.75,보통,보통
2018-10-21 23,38.35,51.71,55.14,11.95,23.71,보통,보통
2018-10-22 00,37.43,51.5,58.84,11.21,23.05,보통,보통
2018-10-22 01,37.68,51.21,60.44,10.84,21.14,보통,보통
2018-10-22 02,36.99,51.06,61.35,10.68,22.7,보통,보통
2018-10-22 03,35.2,51.03,62.55,10.43,25.1,보통,보통
2018-10-22 04,34.47,51.21,64.52,10.08,24.36,보통,보통
2018-10-22 05,35.47,51.71,65.65,9.96,25.03,보통,보통
2018-10-22 06,36.75,52.18,66.68,9.7,26.03,보통,보통
2018-10-22 07,39.06,52.55,66.89,9.72,26.89,보통,보통
2018-10-22 08,41.27,52.74,60.35,11.31,25.38,보통,보통
2018-10-22 09,45.44,52.51,50.46,13.86,27.21,보통,보통
2018-10-22 10,58.39,52.36,41.15,16.63,33.98,보통,보통
2018-10-22 11,72.6,52.38,35.88,18.44,42.95,보통,나쁨
2018-10-22 12,79.06,52.18,31.27,19.86,49.16,보통,나쁨
2018-10-22 13,92.62,52.29,30.64,20.14,58.29,나쁨,나쁨
2018-10-22 14,91.68,52.27,28.89,20.53,58.63,나쁨,나쁨
2018-10-22 15,97.17,52.37,29.68,20.54,61.19,나쁨,나쁨
2018-10-22 16,88.74,52.39,30.54,20.11,53.17,나쁨,나쁨
2018-10-22 17,105.06,52.38,34.09,19.29,64.81,나쁨,나쁨
2018-10-22 18,103.92,52.29,39.99,17.54,69.15,나쁨,나쁨
2018-10-22 19,98.1,52.32,46.86,15.91,63.47,나쁨,나쁨
2018-10-22 20,98.45,52.3,52.31,14.65,63.44,나쁨,나쁨
2018-10-22 21,89.3,52.19,56.14,13.82,62.19,나쁨,나쁨
2018-10-22 22,86.43,52.13,59.52,12.97,62.11,나쁨,나쁨
2018-10-22 23,82.57,51.78,62.54,12.24,60.19,나쁨,나쁨
2018-10-23 00,84.24,51.61,65.28,11.62,59.37,나쁨,나쁨
2018-10-23 01,84.22,51.4,67.48,11.04,58.75,나쁨,나쁨
2018-10-23 02,80.44,51.25,68.64,10.8,58.05,보통,나쁨
2018-10-23 03,69.35,51.15,69.57,10.77,52.31,보통,나쁨
2018-10-23 04,67.88,51.25,70.04,10.73,52.27,보통,나쁨
2018-10-23 05,73.4,51.6,70.56,10.77,56.22,보통,나쁨
2018-10-23 06,77.52,52.04,69.82,11.08,55.69,보통,나쁨
2018-10-23 07,73.01,52.45,69.72,11.5,53.78,보통,나쁨
2018-10-23 08,81.31,52.65,72.14,11.92,61.37,나쁨,나쁨
2018-10-23 09,90.34,52.67,67.73,12.96,64.59,나쁨,나쁨
2018-10-23 10,86.76,52.86,64.74,13.96,62.7,나쁨,나쁨
2018-10-23 11,66.91,54.87,82.78,11.69,45.89,보통,나쁨
2018-10-23 12,57.64,53.17,82.94,12.64,36.93,보통,나쁨
2018-10-23 13,34.41,52.74,71.79,14.74,21.28,보통,보통
2018-10-23 14,30.49,52.87,65.43,16.01,21.57,좋음,보통
2018-10-23 15,36.87,52.59,63.02,16.62,24.22,보통,보통
2018-10-23 16,46.75,52.75,61.97,16.76,29.07,보통,보통
2018-10-23 17,52.76,52.73,63.1,16.18,33.1,보통,보통
2018-10-23 18,55.15,52.57,66.49,15.55,33.16,보통,보통
2018-10-23 19,60.39,52.64,69.78,14.84,30.07,보통,보통
2018-10-23 20,67.61,52.46,67.41,14.41,30.15,보통,보통
2018-10-23 21,72.19,52.32,65.11,14.0,29.36,보통,보통
2018-10-23 22,77.56,52.43,68.91,13.09,30.96,보통,보통
2018-10-23 23,70.69,52.09,72.26,12.22,28.24,보통,보통
2018-10-24 00,61.32,51.91,73.88,11.6,23.85,보통,보통
2018-10-24 01,57.77,51.59,76.02,10.88,23.46,보통,보통
2018-10-24 02,54.64,51.35,78.15,10.25,21.81,보통,보통
2018-10-24 03,54.42,51.23,80.13,9.57,20.67,보통,보통
2018-10-24 04,53.73,51.38,81.3,9.07,24.48,보통,보통
2018-10-24 05,52.11,51.76,82.08,8.81,24.93,보통,보통
2018-10-24 06,52.74,52.31,83.66,8.58,25.29,보통,보통
2018-10-24 07,53.72,52.71,82.99,8.8,26.59,보통,보통
2018-10-24 08,54.51,52.94,76.49,10.35,28.1,보통,보통
2018-10-24 09,53.76,52.92,67.48,12.65,24.18,보통,보통
2018-10-24 10,57.28,52.67,59.2,14.86,27.52,보통,보통
2018-10-24 11,62.66,52.33,48.69,17.07,32.86,보통,보통
2018-10-24 12,59.38,52.23,40.54,18.37,29.25,보통,보통
2018-10-24 13,53.5,52.3,35.89,19.13,25.15,보통,보통
2018-10-24 14,53.19,52.37,36.77,19.01,27.25,보통,보통
2018-10-24 15,52.16,52.71,39.28,18.56,23.92,보통,보통
2018-10-24 16,52.1,52.66,40.0,18.14,26.04,보통,보통
2018-10-24 17,48.14,52.65,43.15,17.06,22.13,보통,보통
2018-10-24 18,45.18,52.53,50.61,15.53,19.35,보통,보통
2018-10-24 19,40.54,52.6,56.3,14.16,17.29,보통,보통
2018-10-24 20,38.99,52.49,60.2,13.3,15.73,보통,좋음
2018-10-24 21,39.35,52.35,63.08,12.44,16.45,보통,보통
2018-10-24 22,40.82,52.32,65.75,11.81,16.01,보통,보통
2018-10-24 23,38.29,52.01,68.87,11.18,15.72,보통,좋음
2018-10-25 00,37.71,51.89,71.83,10.57,18.53,보통,보통
2018-10-25 01,37.05,51.53,74.24,10.08,20.78,보통,보통
2018-10-25 02,36.93,51.37,76.19,9.59,21.42,보통,보통
2018-10-25 03,37.42,51.22,77.68,9.17,20.78,보통,보통
2018-10-25 04,39.42,51.38,78.72,8.82,22.06,보통,보통
2018-10-25 05,43.75,51.81,79.85,8.51,23.05,보통,보통
2018-10-25 06,45.43,52.24,80.34,8.4,26.92,보통,보통
2018-10-25 07,43.76,52.8,79.03,8.7,28.09,보통,보통
2018-10-25 08,41.21,52.79,72.27,10.35,24.8,보통,보통
2018-10-25 09,40.63,52.59,62.54,12.96,23.53,보통,보통
2018-10-25 10,46.08,52.32,51.32,15.82,25.74,보통,보통
2018-10-25 11,52.33,52.2,41.7,18.14,27.74,보통,보통
2018-10-25 12,45.91,52.21,35.35,19.68,20.96,보통,보통
2018-10-25 13,44.84,52.29,32.38,20.43,19.49,보통,보통
2018-10-25 14,44.77,52.32,30.17,20.87,18.87,보통,보통
2018-10-25 15,43.11,52.53,29.55,20.72,16.92,보통,보통
2018-10-25 16,41.86,52.45,32.44,20.16,16.53,보통,보통
2018-10-25 17,46.92,52.57,41.0,18.66,24.5,보통,보통
2018-10-25 18,52.5,52.38,47.35,17.15,29.38,보통,보통
2018-10-25 19,52.18,52.47,49.0,16.29,27.38,보통,보통
2018-10-25 20,46.95,52.4,52.87,15.28,22.47,보통,보통
2018-10-25 21,44.91,52.34,56.68,14.55,23.03,보통,보통
2018-10-25 22,44.89,52.35,60.57,13.48,22.89,보통,보통
2018-10-25 23,43.75,52.1,62.65,12.99,23.93,보통,보통
2018-10-26 00,42.06,51.9,63.49,12.87,24.48,보통,보통
2018-10-26 01,40.68,51.63,63.4,13.09,23.26,보통,보통
2018-10-26 02,40.28,51.32,62.02,13.5,24.01,보통,보통
2018-10-26 03,40.14,51.13,61.07,13.61,26.62,보통,보통
2018-10-26 04,39.55,51.24,61.83,13.46,26.59,보통,보통
2018-10-26 05,40.65,51.52,60.35,13.53,25.97,보통,보통
2018-10-26 06,42.48,52.17,69.21,13.12,28.35,보통,보통
