no,연도,월,일,지점,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),안개 계속시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2)
4006,YC,3,22,D,7.6,0.0,640.0,14.6,1520.0,,0.0,6.6,320.0,1424.0,3.2,320.0,1429.0,1.2,1077.0,-4.4,19.0,1357.0,46.0,4.5,1012.8,1023.2,923,1019.0,1630.0,1021.3,12.2,7.6,1300.0,3.15,19.04,,,,,,6.0,0.5,11.6,-4.9,10.0,9.8,9.6,9.5,9.2,8.9,9.0,11.5,15.3,2.9,4.1,,,
4007,YA,4,26,C,13.3,9.5,540.0,18.7,1412.0,,0.0,7.6,320.0,1658.0,5.6,290.0,1706.0,2.8,2404.0,6.3,41.0,1336.0,64.9,9.6,1005.9,1015.6,829,1012.7,1616.0,1014.1,13.6,12.0,1300.0,2.94,22.07,,,,,,5.1,0.3,14.5,5.0,13.2,13.2,12.9,12.3,11.8,10.8,10.1,9.5,11.4,3.7,5.3,,,
4008,YC,11,21,B,1.3,-4.2,654.0,8.1,1515.0,,0.0,4.9,20.0,739.0,2.7,50.0,741.0,1.4,1195.0,-7.3,29.0,1418.0,55.6,3.5,1015.7,1029.7,254,1023.2,2359.0,1026.5,10.0,8.5,1200.0,1.19,7.14,,,,,,1.1,1.1,0.8,-12.6,2.8,3.9,5.4,6.7,8.5,13.5,16.6,19.4,18.6,1.3,1.8,,,
4009,YC,11,1,D,13.1,7.3,449.0,19.0,1431.0,,0.0,7.7,160.0,1223.0,4.3,180.0,1244.0,1.3,1089.0,8.4,53.0,1432.0,74.8,11.1,1013.8,1024.6,44,1020.2,1531.0,1022.1,10.7,6.9,1200.0,2.34,14.03,,,,,,7.1,5.4,16.6,2.7,14.8,13.9,14.8,15.3,16.4,18.7,20.2,21.3,19.4,2.1,3.0,,,
4010,YC,2,4,A,2.0,1.1,2357.0,3.2,208.0,,0.0,7.6,110.0,1143.0,5.7,110.0,1113.0,4.1,3510.0,0.7,75.0,1.0,91.5,6.4,1001.8,1024.6,1,1016.1,2356.0,1019.9,10.4,0.0,,,,,,,,,7.5,6.5,0.8,-3.2,,,,,,,,,,,,3.5,,
4011,YA,5,18,H,16.3,12.9,2332.0,20.9,217.0,0.7,1.9,18.2,230.0,157.0,12.4,230.0,204.0,4.0,3463.0,14.9,81.0,2355.0,91.9,17.4,998.7,1012.4,2344,1004.0,332.0,1006.9,14.1,0.4,,,,,,,,,10.0,7.8,19.3,12.5,,19.9,20.0,19.6,19.4,17.0,15.7,14.4,15.2,,,0.7,,
4012,YC,1,29,A,-1.0,-3.9,2356.0,1.0,238.0,,5.2,11.7,290.0,2313.0,5.9,290.0,2321.0,3.0,2584.0,-3.4,44.0,26.0,84.8,4.8,1002.3,1022.4,302,1018.0,1427.0,1020.6,10.2,0.0,,,,7.5,1225.0,7.5,1225.0,7.5,10.0,7.4,-0.3,-0.9,,,,,,,,,,,,,,
4013,YC,7,31,G,26.1,24.0,2011.0,29.5,1221.0,14.0,15.9,10.9,50.0,1719.0,5.8,20.0,1724.0,1.4,1202.0,25.8,93.0,1236.0,98.4,33.3,1000.4,1010.1,2122,1007.3,529.0,1008.6,13.9,0.0,1200.0,1.63,8.1,,,,,,7.6,4.4,27.8,22.5,,,,,,,,,,1.4,2.0,,,
4014,YB,2,17,A,0.4,-1.8,255.0,3.0,1343.0,,0.0,12.6,340.0,30.0,9.4,340.0,608.0,5.8,5017.0,-9.1,39.0,1236.0,48.9,3.1,1021.4,1027.6,1112,1025.0,1.0,1026.0,10.9,,1200.0,2.51,,,,,,,0.0,0.0,-0.1,-3.6,,,,,,,,,,2.1,3.0,,10.5,16.92
4015,YC,9,25,B,23.4,17.4,625.0,30.1,1422.0,,0.0,5.3,50.0,1315.0,3.0,70.0,840.0,1.4,1189.0,14.0,35.0,1404.0,58.0,16.0,1004.8,1016.6,821,1012.8,1544.0,1014.7,12.1,10.4,1200.0,2.35,16.62,,,,,,2.5,0.8,25.2,14.9,23.8,23.6,22.8,23.0,23.0,23.0,23.1,21.1,18.2,3.7,5.3,,,
4016,YC,11,12,B,5.3,0.3,719.0,11.4,1536.0,,0.0,5.9,180.0,1351.0,3.2,180.0,1349.0,1.4,1214.0,-2.8,34.0,1325.0,57.1,5.0,1011.3,1023.3,854,1020.1,1711.0,1021.9,10.3,8.6,1200.0,1.06,6.72,,,,,,1.5,0.0,3.8,-5.8,7.3,9.0,10.7,12.1,13.4,16.7,18.5,19.9,18.7,1.3,1.9,,,
4017,YC,3,12,E,10.8,1.0,638.0,18.7,1514.0,,0.0,5.9,270.0,1422.0,3.3,290.0,2039.0,1.3,1113.0,-6.2,10.0,1626.0,36.6,4.0,1013.5,1023.5,52,1015.5,1659.0,1019.4,11.8,9.2,1200.0,2.76,17.2,,,,,,3.8,0.9,11.4,-5.8,,,,,,,,,,3.9,5.5,,,
4018,YB,12,12,B,-0.7,-3.5,813.0,3.4,1458.0,,0.0,8.7,320.0,353.0,4.2,290.0,309.0,1.8,1584.0,-11.4,23.0,1515.0,45.4,2.6,1018.0,1031.0,2153,1023.7,23.0,1029.0,9.6,,1200.0,1.84,,,,,,,0.0,0.0,0.6,-8.0,2.3,3.5,4.7,5.7,6.3,9.0,12.1,17.1,17.6,1.4,2.0,,9.1,10.73
4019,YA,8,26,E,20.8,19.3,833.0,23.9,1.0,25.5,127.5,5.6,290.0,604.0,3.5,270.0,610.0,1.2,1017.0,19.9,81.0,1.0,95.1,23.3,1006.6,1014.3,1041,1011.0,331.0,1012.8,13.2,0.0,1200.0,0.72,1.95,,,,,,10.0,7.1,23.2,19.3,,,,,,,,,,0.6,0.8,0.17,,
4020,YB,1,21,F,2.7,-3.2,228.0,9.1,1535.0,,0.0,8.5,320.0,736.0,6.1,320.0,738.0,2.4,2073.0,-12.4,20.0,1439.0,32.8,2.4,1009.3,1022.2,628,1017.0,1821.0,1019.7,10.1,,,,,,,,,,0.0,0.0,0.9,-10.2,,,,,,,,,,,,,9.4,
4021,YB,6,9,A,15.9,14.9,1.0,16.8,851.0,3.4,6.7,10.9,180.0,1100.0,6.3,160.0,944.0,3.5,2981.0,15.6,95.0,1641.0,99.0,17.8,999.6,1005.8,6,1002.0,1759.0,1003.8,14.7,,800.0,0.71,,,,,,,10.0,8.4,18.5,13.3,,,,,,,,,,0.7,1.0,0.92,0.1,6.21
4022,YA,2,20,H,8.3,3.2,639.0,13.8,1409.0,,0.0,8.6,360.0,1058.0,4.8,340.0,352.0,2.3,1999.0,-8.0,19.0,944.0,32.6,3.4,1011.8,1023.1,826,1018.0,1523.0,1020.4,11.1,9.3,1100.0,2.15,13.78,,,,,,4.1,0.0,8.6,-2.4,7.6,7.3,7.2,7.1,6.5,7.9,9.9,14.9,17.2,3.9,5.5,,,
4023,YC,2,7,D,-0.5,-4.7,808.0,5.8,1524.0,,0.0,4.3,90.0,1257.0,2.5,110.0,1302.0,1.0,851.0,-7.9,33.0,1639.0,59.6,3.4,1016.7,1028.0,936,1023.2,1644.0,1025.5,10.6,6.9,1200.0,2.33,12.28,,,,,,5.8,2.3,1.7,-8.0,1.7,1.3,1.8,2.6,4.0,5.7,7.8,13.1,16.8,1.3,1.9,,,
4024,YA,5,17,I,18.6,16.1,327.0,22.0,1214.0,12.0,50.0,16.5,250.0,239.0,7.9,250.0,243.0,2.4,2065.0,17.5,92.0,241.0,93.5,20.1,998.6,1007.1,641,1002.8,2026.0,1004.2,14.3,0.0,,,,,,,,,,,19.0,15.9,,,,,,,,,,,,,,
4025,YC,8,18,D,26.1,23.0,434.0,30.4,1631.0,0.0,0.0,4.7,320.0,1215.0,2.5,180.0,1501.0,1.1,945.0,22.9,64.0,1624.0,83.8,27.9,1003.2,1012.5,2254,1009.5,119.0,1011.0,13.5,7.5,1000.0,3.01,19.45,,,,,,5.1,3.4,28.2,21.4,28.3,27.6,27.9,27.7,27.0,26.0,25.4,21.9,17.2,3.4,4.9,,,
4026,YB,10,4,D,22.5,19.7,328.0,27.5,1518.0,,0.0,7.5,140.0,2243.0,4.2,140.0,2245.0,1.1,948.0,19.5,58.0,1525.0,84.1,22.6,1005.2,1014.5,1100,1011.9,1.0,1013.2,11.7,,1100.0,3.18,,,,,,,6.9,5.3,23.7,15.8,23.8,23.2,23.5,23.4,22.8,22.8,22.8,21.7,18.3,2.7,3.8,,6.2,15.62
4027,YA,7,19,H,29.1,25.7,323.0,32.2,1411.0,,0.0,7.0,200.0,1545.0,5.6,200.0,1540.0,2.2,1943.0,22.2,58.0,1640.0,67.1,26.9,1002.4,1011.6,731,1008.9,1803.0,1010.2,14.2,12.7,1200.0,4.14,34.68,,,,,,0.0,0.0,37.3,22.5,32.0,31.4,30.3,29.0,27.7,24.4,22.0,17.8,16.4,6.9,9.8,,,
4028,YA,6,7,G,24.9,19.1,547.0,32.6,1504.0,,0.0,6.3,270.0,1800.0,3.5,250.0,1806.0,1.2,1016.0,19.1,40.0,1506.0,73.9,22.1,1003.0,1013.8,114,1008.4,1650.0,1011.3,14.5,11.4,1100.0,3.49,27.77,,,,,,1.0,1.0,34.7,13.7,,,,,,,,,,5.0,7.2,,,
4029,YC,2,24,C,-0.1,-3.6,247.0,3.4,1445.0,,0.0,7.6,250.0,1507.0,4.9,250.0,1631.0,3.0,2577.0,-8.5,23.0,1142.0,55.5,3.4,1015.6,1026.1,759,1023.3,2103.0,1024.7,11.2,10.2,1200.0,2.16,13.53,,,,,,1.4,0.9,0.9,-5.8,0.9,0.9,1.3,1.6,2.2,3.8,5.4,9.9,14.3,1.6,2.3,,,
4030,YA,4,8,I,2.9,-1.1,603.0,7.5,1348.0,2.5,3.0,10.4,20.0,1639.0,6.1,50.0,1646.0,2.8,2433.0,-3.3,31.0,1150.0,67.0,4.9,1009.6,1017.5,1004,1012.4,1603.0,1015.5,12.9,1.8,,,,,,,,,,,4.7,-7.8,,,,,,,,,,,,,,
4031,YC,8,28,D,24.8,19.7,609.0,28.6,1232.0,34.4,35.2,8.5,230.0,2050.0,4.2,200.0,2050.0,1.7,1431.0,21.4,65.0,1031.0,82.6,25.8,1003.2,1013.9,630,1007.9,1851.0,1011.1,13.1,3.8,1200.0,2.56,12.7,,,,,,7.3,4.9,26.9,18.1,26.7,26.3,26.7,27.2,27.4,26.4,25.5,22.4,17.8,2.4,3.5,0.5,,
4032,YC,3,18,F,10.2,4.9,321.0,16.9,1335.0,,0.0,5.6,90.0,1341.0,3.5,140.0,1609.0,1.3,1121.0,-2.2,19.0,1538.0,44.1,5.3,1013.1,1025.0,922,1021.0,1527.0,1023.1,12.1,5.8,,,,,,,,,5.1,2.5,9.6,0.2,,,,,,,,,,,,,,
4033,YA,3,25,D,10.9,4.4,451.0,19.5,1619.0,,0.0,6.3,180.0,1449.0,3.0,290.0,1555.0,1.2,1004.0,4.8,24.0,1539.0,70.8,8.6,1016.5,1027.3,1002,1022.7,1646.0,1024.8,12.3,8.5,1200.0,3.2,21.53,,,,,,3.8,3.8,10.9,1.3,11.4,10.5,9.9,9.5,9.0,8.7,9.0,11.0,15.2,3.3,4.7,6.75,,
4034,YA,3,5,A,1.3,0.2,1958.0,4.6,53.0,,0.8,11.3,70.0,10.0,8.6,70.0,7.0,3.4,2971.0,-5.2,45.0,1727.0,63.0,4.3,1003.3,1028.2,2358,1012.2,32.0,1021.6,11.5,10.0,,,,,,,,,3.4,2.0,4.9,-1.9,,,,,,,,,,,,,,
4035,YA,7,21,I,26.5,20.8,527.0,32.7,1423.0,,0.0,6.3,250.0,1626.0,4.3,250.0,1628.0,1.6,1390.0,21.2,52.0,1659.0,74.5,25.3,1003.8,1010.3,752,1008.2,1521.0,1009.2,14.4,12.6,,,,,,,,,,,32.1,18.3,,,,,,,,,,,,,,
4036,YC,10,15,G,15.1,11.4,342.0,19.0,1342.0,1.9,3.1,6.9,50.0,2240.0,4.3,50.0,2240.0,2.0,1716.0,12.1,49.0,1.0,83.5,14.3,1016.9,1027.3,906,1024.0,1428.0,1025.6,11.3,0.2,1300.0,1.38,6.86,,,,,,9.8,3.9,15.1,9.3,,,,,,,,,,1.3,1.9,,,
4037,YA,3,9,A,0.5,-1.9,658.0,3.3,1730.0,,0.0,10.3,320.0,13.0,6.5,230.0,2356.0,2.6,2264.0,-6.2,25.0,1735.0,61.8,3.9,1006.1,1026.2,1118,1022.9,1835.0,1024.5,11.7,11.1,,,,,,,,,1.0,0.0,4.3,-4.2,,,,,,,,,,,,,,
4038,YA,7,14,B,27.9,24.6,529.0,31.9,1552.0,0.0,0.0,7.6,200.0,1629.0,4.2,200.0,1643.0,1.9,1646.0,21.5,51.0,1609.0,69.6,25.7,1001.4,1012.4,439,1009.7,1746.0,1011.1,14.5,11.3,1200.0,2.67,21.51,,,,,,5.0,5.0,30.6,22.1,28.6,27.7,26.4,25.7,25.0,23.1,21.7,17.5,14.6,4.4,6.2,,,
4039,YC,6,28,A,22.4,19.1,513.0,29.0,1553.0,,0.0,7.7,110.0,723.0,5.9,110.0,641.0,3.7,3226.0,20.5,62.0,1606.0,90.1,24.2,994.8,1012.4,2205,1010.2,2.0,1011.4,14.8,5.7,,,,,,,,,6.8,6.8,28.6,20.1,,,,,,,,,,,,9.58,,
4040,YC,4,17,I,13.5,9.7,2239.0,17.7,705.0,3.5,8.0,14.9,340.0,636.0,7.8,360.0,637.0,2.4,2074.0,8.4,46.0,933.0,72.0,11.1,997.2,1011.3,10,997.9,1601.0,1002.7,13.2,3.0,,,,,,,,,,,13.9,5.1,,,,,,,,,,,,,,
4041,YC,8,12,A,24.8,23.1,528.0,27.5,1420.0,,0.0,9.8,110.0,605.0,7.6,90.0,618.0,4.7,4058.0,22.3,73.0,1345.0,86.8,27.0,993.4,1010.8,1111,1008.2,34.0,1009.8,13.8,10.5,,,,,,,,,5.9,1.4,31.4,22.5,,,,,,,,,,,,,,
4042,YB,4,15,H,12.7,7.9,534.0,17.9,1201.0,,0.0,9.5,360.0,200.0,6.1,200.0,1250.0,3.6,3099.0,-0.9,21.0,1129.0,40.3,5.8,1010.0,1019.6,827,1015.7,1.0,1018.4,13.1,,1200.0,3.5,,,,,,,0.0,0.0,13.2,2.0,12.9,12.5,12.5,12.5,12.9,12.9,13.2,14.3,15.8,5.0,7.2,,12.1,27.18
4043,YA,8,31,B,25.6,22.8,719.0,30.3,1457.0,0.1,0.1,7.2,290.0,1217.0,3.7,290.0,1550.0,1.6,1397.0,18.5,40.0,1319.0,67.4,21.4,1000.3,1011.3,2314,1008.6,1600.0,1010.0,13.0,10.1,1200.0,3.1,22.17,,,,,,4.5,2.3,27.2,19.2,26.9,26.4,25.7,25.5,25.7,25.7,25.6,21.9,16.6,4.7,6.7,,,
4044,YB,10,17,D,15.0,11.3,447.0,20.5,1530.0,,0.0,6.9,360.0,1819.0,3.7,20.0,1646.0,0.9,791.0,10.8,54.0,1327.0,77.6,13.0,1016.2,1025.7,1,1023.0,1651.0,1024.6,11.2,,1100.0,2.19,,,,,,,7.3,4.0,16.7,7.6,17.1,17.2,18.2,18.7,19.2,20.8,21.6,21.4,18.8,2.0,2.9,,4.5,12.28
4045,YB,3,3,B,9.4,2.5,731.0,16.1,1417.0,,0.0,6.4,200.0,1306.0,3.3,320.0,1942.0,1.5,1272.0,-5.6,15.0,1414.0,36.4,4.1,1002.5,1017.0,48,1010.1,1703.0,1012.9,11.4,,1200.0,2.55,,,,,,,4.8,1.9,7.7,-4.8,6.8,6.3,5.7,5.2,5.1,5.1,6.2,10.7,14.4,3.1,4.4,,7.9,15.37
4046,YB,9,13,F,21.8,18.8,2345.0,25.2,1310.0,0.8,0.8,7.1,50.0,1152.0,4.8,70.0,1022.0,2.5,2134.0,17.2,59.0,1506.0,76.3,19.6,1004.5,1015.9,1,1012.6,1521.0,1014.1,12.5,,,,,,,,,,4.9,4.4,23.1,16.3,,,,,,,,,,,,,10.5,
4047,YA,11,23,B,1.9,-3.1,748.0,7.6,1314.0,,0.0,6.3,320.0,6.0,3.7,340.0,13.0,1.4,1231.0,-14.7,15.0,1328.0,29.6,2.0,1017.9,1030.6,941,1027.2,1528.0,1028.7,10.0,8.6,1200.0,1.94,10.76,,,,,,3.1,1.4,1.5,-8.6,3.4,5.1,6.7,8.0,9.6,13.2,15.4,18.3,18.2,2.0,2.8,,,
4048,YA,5,11,B,16.1,11.9,257.0,21.3,1337.0,,0.0,7.1,340.0,1411.0,3.5,290.0,1457.0,1.8,1513.0,7.6,36.0,1749.0,59.8,10.5,1008.2,1021.6,1,1014.6,2205.0,1018.3,14.1,5.3,1200.0,3.17,18.7,,,,,,9.5,7.4,21.0,12.0,19.8,19.3,18.4,17.6,17.0,15.0,13.7,12.0,13.0,3.3,4.8,,,
4049,YC,11,12,F,8.8,3.7,703.0,15.5,1426.0,,0.0,5.2,230.0,1529.0,3.7,200.0,1530.0,1.5,1273.0,-2.4,23.0,1445.0,47.4,5.2,1010.6,1022.6,813,1018.9,1401.0,1020.8,10.4,8.5,,,,,,,,,3.5,0.9,7.4,-1.1,,,,,,,,,,,,,,
4050,YB,12,3,C,1.7,-3.4,224.0,4.9,1524.0,,1.8,9.8,340.0,2400.0,5.6,340.0,2250.0,2.3,1982.0,-3.3,48.0,119.0,70.3,5.1,1016.3,1026.4,7,1023.7,1420.0,1025.1,9.8,,1200.0,0.83,,,,,,,7.0,6.1,1.2,-8.9,3.8,4.2,5.3,6.2,7.8,10.3,12.8,16.6,17.0,0.8,1.2,,2.3,3.74
4051,YC,12,27,C,-6.3,-8.8,755.0,-4.2,1454.0,,0.0,10.2,320.0,526.0,7.0,340.0,526.0,3.9,3386.0,-19.1,26.0,1136.0,35.8,1.4,1021.6,1032.3,1104,1029.4,126.0,1030.5,9.6,9.2,1200.0,1.09,6.29,,,,,,0.3,0.3,-3.5,-10.2,0.6,0.7,1.4,2.1,2.7,5.3,8.1,13.9,16.6,1.1,1.6,,,
4052,YC,4,14,E,16.2,8.9,528.0,22.7,1408.0,0.0,0.0,10.7,270.0,1230.0,5.9,270.0,1401.0,1.9,1610.0,4.7,19.0,1020.0,49.4,8.7,1006.9,1017.0,223,1009.9,1632.0,1013.2,13.1,8.2,1000.0,2.7,18.64,,,,,,4.9,1.6,15.9,2.6,,,,,,,,,,4.3,6.2,,,
4053,YC,9,4,E,22.3,17.6,554.0,28.0,1520.0,,0.0,7.9,110.0,1220.0,4.9,90.0,1616.0,2.3,1958.0,16.2,41.0,1221.0,71.1,18.5,1009.6,1017.6,732,1013.8,1648.0,1015.8,12.8,6.6,1200.0,2.79,17.33,,,,,,6.8,4.0,27.7,14.6,,,,,,,,,,3.7,5.3,,,
4054,YB,12,23,B,3.4,0.3,2351.0,5.2,1.0,,2.9,7.9,180.0,50.0,4.2,290.0,1300.0,2.0,1754.0,0.3,57.0,1628.0,80.4,6.3,1011.5,1026.8,2248,1017.2,132.0,1022.2,9.6,,1100.0,1.13,,,,,,,6.1,6.1,3.4,-5.8,4.0,4.0,4.1,4.7,5.0,8.0,10.9,16.1,17.3,0.7,1.0,,2.4,5.1
4055,YB,10,4,F,21.7,18.2,628.0,25.7,1026.0,,0.0,5.6,70.0,1331.0,3.9,90.0,1159.0,1.5,1321.0,18.7,58.0,1055.0,84.5,21.6,1003.8,1015.0,2114,1010.3,1.0,1013.3,11.7,,,,,,,,,,4.5,4.5,22.8,14.5,,,,,,,,,,,,,8.6,
4056,YC,1,17,G,0.3,-4.2,733.0,5.4,1555.0,,0.0,3.6,90.0,1618.0,1.8,20.0,41.0,0.7,604.0,-9.8,24.0,1559.0,48.9,2.9,1022.2,1033.2,938,1029.7,1632.0,1031.5,10.1,3.9,1100.0,1.24,8.4,,,,,,5.3,3.0,-1.7,-9.8,,,,,,,,,,1.1,1.6,,,
4057,YA,1,18,E,5.8,1.9,2326.0,9.4,1458.0,,0.0,6.6,290.0,1520.0,4.0,290.0,1529.0,1.9,1614.0,-1.5,33.0,1642.0,62.8,5.7,1015.3,1024.1,2141,1020.0,505.0,1022.0,10.1,2.2,1200.0,1.36,7.15,,,,,,7.6,3.0,4.9,-3.7,,,,,,,,,,1.3,1.9,,,
4058,YB,9,2,B,24.4,19.4,642.0,29.7,1432.0,,0.0,6.4,270.0,1725.0,3.5,290.0,1707.0,1.6,1346.0,14.7,34.0,1358.0,56.6,16.7,1006.5,1017.8,624,1014.2,1628.0,1016.3,13.0,,1000.0,2.57,,,,,,,6.1,2.1,24.8,15.9,25.1,25.2,24.8,25.0,25.2,24.8,24.0,19.8,16.0,3.7,5.3,,7.4,16.85
4059,YA,5,27,H,20.2,16.1,505.0,24.9,1252.0,,0.0,6.9,250.0,1857.0,5.5,200.0,1647.0,2.1,1846.0,15.4,47.0,1431.0,75.1,17.5,1002.7,1012.3,913,1009.6,1737.0,1010.7,14.3,8.1,,,,,,,,,6.9,2.5,25.6,11.6,23.1,22.7,22.1,21.3,20.9,18.1,16.6,14.7,15.3,,,,,
4060,YA,2,23,F,6.2,-2.1,604.0,12.4,1438.0,,0.0,8.0,180.0,1811.0,5.3,200.0,1831.0,2.1,1813.0,-5.4,17.0,1508.0,44.4,4.2,1012.1,1023.8,2253,1021.0,446.0,1022.5,11.2,9.1,,,,,,,,,1.0,1.0,4.0,-7.8,,,,,,,,,,,,,,
4061,YC,1,27,B,-2.6,-5.7,2348.0,3.1,1.0,,3.0,11.6,270.0,251.0,6.1,270.0,259.0,3.4,2968.0,-12.7,28.0,1509.0,47.3,2.5,1016.5,1030.9,2344,1017.3,34.0,1027.5,10.2,9.2,1200.0,1.83,11.32,,,0.9,1.0,,1.6,0.9,0.6,-8.2,0.3,-0.2,0.3,1.1,2.2,4.9,7.9,13.7,16.5,1.5,2.1,,,
4062,YB,5,31,A,16.1,12.4,551.0,19.8,1308.0,,0.0,11.7,360.0,311.0,6.7,250.0,1445.0,3.9,3367.0,11.5,56.0,1543.0,75.8,13.6,1004.7,1010.2,319,1007.5,1732.0,1008.9,14.6,,1200.0,3.66,,,,,,,3.0,3.0,28.8,9.1,,,,,,,,,,4.1,5.9,,13.6,30.84
4063,YC,1,2,G,7.2,2.7,644.0,13.3,1352.0,,0.0,5.3,270.0,1504.0,3.0,270.0,1511.0,1.0,887.0,4.0,54.0,1353.0,81.6,8.2,1014.7,1026.3,8,1021.7,1402.0,1023.6,9.9,4.8,1300.0,1.63,7.89,,,,,,5.0,4.4,3.9,-2.8,,,,,,,,,,1.0,1.5,,,
4064,YA,3,19,E,8.1,4.0,2353.0,11.3,910.0,,23.0,12.3,110.0,1115.0,7.5,110.0,1123.0,3.6,3152.0,6.9,84.0,1553.0,92.4,10.1,1010.3,1022.5,2327,1013.2,708.0,1016.8,12.1,0.0,1300.0,0.4,2.33,,,,,,10.0,7.6,9.2,3.7,,,,,,,,,,1.0,1.5,,,
4065,YB,10,13,I,15.5,10.7,123.0,21.6,1511.0,,0.0,5.8,70.0,224.0,4.0,50.0,227.0,1.9,1613.0,8.9,42.0,1417.0,66.9,11.5,1017.2,1024.2,926,1021.3,1.0,1022.9,11.4,,,,,,,,,,2.1,0.5,17.1,5.3,,,,,,,,,,,,,10.3,
4066,YA,8,3,A,28.2,23.7,2147.0,32.8,1220.0,,0.0,7.2,180.0,1328.0,4.9,180.0,1330.0,1.7,1487.0,25.3,62.0,1521.0,85.1,32.2,1001.7,1006.8,2336,1004.2,125.0,1005.7,14.1,13.2,1200.0,3.3,26.88,,,,,,0.4,0.0,37.0,23.2,,,,,,,,,,4.7,6.7,,,
4067,YC,1,25,I,-6.2,-13.1,734.0,0.2,1409.0,,0.0,8.3,270.0,1416.0,4.3,250.0,1449.0,1.4,1167.0,-13.3,32.0,1239.0,59.3,2.2,1028.7,1037.1,1020,1033.2,1631.0,1034.9,10.1,8.9,,,,,,,,,,,-4.0,-19.1,,,,,,,,,,,,,,
4068,YA,2,8,H,0.8,-4.5,733.0,6.8,1241.0,,0.0,9.5,360.0,440.0,5.5,340.0,506.0,2.3,1984.0,-14.3,19.0,1219.0,32.0,2.1,1015.4,1025.4,936,1023.0,1513.0,1024.2,10.7,10.0,1200.0,2.19,13.4,,,,,,1.5,0.0,1.9,-7.3,1.2,1.2,1.9,2.6,2.7,7.2,10.5,15.7,17.5,1.9,2.7,,,
4069,YB,6,20,G,23.5,18.5,510.0,29.6,1313.0,,0.0,6.9,250.0,1544.0,3.6,250.0,1557.0,1.3,1142.0,18.5,50.0,1317.0,75.1,21.3,999.0,1008.4,746,1005.5,1526.0,1007.2,14.5,,1200.0,3.52,,,,,,,5.4,0.6,29.0,15.5,,,,,,,,,,4.5,6.4,,9.4,24.97
4070,YB,11,27,G,7.7,4.0,2400.0,10.2,1.0,,0.0,11.4,50.0,1112.0,6.2,20.0,1054.0,1.8,1529.0,0.8,42.0,1531.0,63.0,6.7,1018.3,1028.7,935,1025.6,1445.0,1027.2,10.1,,1200.0,1.22,,,,,,,9.3,4.3,9.6,2.9,,,,,,,,,,1.5,2.2,,0.9,7.21
4071,YA,8,22,E,29.4,25.0,448.0,33.7,1258.0,,0.0,11.0,110.0,1437.0,7.2,110.0,1516.0,3.3,2812.0,20.7,46.0,1252.0,60.8,24.4,999.3,1006.7,1025,1003.8,1547.0,1005.3,13.3,10.4,1200.0,2.64,19.69,,,,,,6.0,1.9,34.3,22.4,,,,,,,,,,6.0,8.5,,,
4072,YA,10,11,E,12.3,8.3,2350.0,16.4,1345.0,,0.0,12.2,270.0,1525.0,7.0,290.0,1417.0,3.5,3015.0,-1.6,24.0,1213.0,40.0,5.5,1015.5,1024.5,2257,1020.2,1422.0,1022.0,11.5,10.3,1200.0,2.72,18.12,,,,,,2.8,0.1,14.1,3.6,,,,,,,,,,4.1,5.8,,,
4073,YC,4,25,B,16.0,12.9,637.0,20.4,1242.0,,0.0,9.7,250.0,1254.0,5.1,250.0,1248.0,2.7,2320.0,7.3,44.0,1600.0,56.8,10.3,1008.1,1019.6,2245,1017.1,1559.0,1018.3,13.6,4.7,1100.0,2.64,,,,,,,7.9,5.9,18.4,9.8,16.5,16.0,15.1,14.7,14.3,12.9,12.2,11.6,13.4,3.2,4.5,,,
4074,YC,12,16,B,-5.7,-8.1,2356.0,-2.6,1.0,,0.0,10.2,320.0,1409.0,5.7,320.0,1323.0,3.0,2568.0,-17.1,21.0,1313.0,43.1,1.7,1016.7,1030.9,2352,1025.6,1438.0,1027.8,9.6,8.6,1200.0,1.12,6.4,,,,,,0.0,0.0,-4.4,-11.2,-1.7,-0.5,0.8,1.9,3.8,8.1,11.7,17.2,18.2,1.2,1.7,,,
